"vertex_id","egoid","size","edges","density","clustering","betweenness_centralization","degree_centralization","diameter","modularity","n_components","max_comp_size","prop_lcc","gender_1","race_1","parentincome_1","RegionUS","Extraversion_1","Openness_1","Agreeableness_1","Conscientiousness_1","Neuroticism_1","cluster_km"
22408,22408,61,408,0.191256830601093,0.607883049592894,0.145254752475671,0.29207650273224,5,0.426477551020408,5,55,0.901639344262295,"Male","Latino/a","$250,000 or more","Pacific",3.5,3,3.6666667,4.1111112,3.125,0
22455,22455,29,20,0.0467980295566502,0.765957446808511,0.0170540438397581,0.167487684729064,2,0.498614958448753,18,7,0.241379310344828,"Female","African-American","$25,000 - $49,999","South Atlantic",2.5,3.4000001,5,5,2.75,1
22460,22460,26,151,0.458461538461538,0.76219512195122,0.155609966329966,0.381538461538462,4,0.199180217107337,2,25,0.961538461538462,"Male","White","$75,000 - $99,999","New England",3.75,3.9000001,3.2222223,2.6666667,2.25,1
22540,22540,34,255,0.393939393939394,0.63980611935777,0.109961522271675,0.424242424242424,3,0.271380602362769,2,33,0.970588235294118,"Female","White","$75,000 - $99,999","East North Central",3.875,2.8,3.2222223,2.8888888,3.375,1
22587,22587,24,66,0.239130434782609,0.695530726256983,0.138958583949132,0.239130434782609,3,0.501951331496786,2,15,0.625,"Male","Asian-American","$25,000 - $49,999","South Atlantic",2.125,2.8,3.8888888,2,3,1
22688,22688,64,488,0.213293650793651,0.796049806784028,0.0554423239669381,0.24702380952381,4,0.506706327744727,2,39,0.609375,"Male","White","$100,000 - $149,999","East North Central",2.75,3.5999999,4.2222223,4.1111112,2,0
22842,22842,38,267,0.320056899004267,0.686175580221998,0.207726355699329,0.382645803698435,3,0.369708641975309,2,37,0.973684210526316,"Male","Latino/a","$25,000 - $49,999","West South Central",2.625,3.3,3.6666667,2.6666667,3,1
22897,22897,15,73,0.580952380952381,0.85546875,0.232339089481947,0.276190476190476,3,0.101316850309057,1,15,1,"Male","White","$250,000 or more","Middle Atlantic",2.625,3.3,3.3333333,3.4444444,3.25,3
22913,22913,22,83,0.359307359307359,0.835555555555555,0.0498110355253212,0.307359307359307,2,0.363260269995645,3,15,0.681818181818182,"Male","White","$250,000 or more","Middle Atlantic",4.25,3,3.1111112,3.8888888,1.75,1
22989,22989,53,414,0.279390420899855,0.723909723400645,0.0292799442262112,0.239840348330914,2,0.476761679878563,2,29,0.547169811320755,"Male","White","$250,000 or more","West North Central",3.5,2.4000001,3.5555556,3.4444444,2,1
23042,23042,5,10,1,1,0,0,1,0,1,5,1,"","","","",NA,NA,NA,NA,NA,3
23115,23115,19,67,0.391812865497076,0.770186335403727,0.516430646332607,0.330409356725146,4,0.348407217643128,1,19,1,"Male","White","$250,000 or more","East North Central",3.5,3.0999999,3.7777777,4.1111112,2.125,2
23253,23253,24,164,0.478260869565217,0.677606177606178,0.0584889921871317,0.347826086956522,3,0.192808769513315,1,24,1,"Female","Latino/a","$75,000 - $99,999","West South Central",2.875,3.2,3.4444444,3.5555556,3.625,1
23270,23270,36,148,0.206349206349206,0.643253234750462,0.370518950437318,0.307936507936508,4,0.518846153846154,1,36,1,"Female","White","$250,000 or more","West North Central",2.125,2.4000001,3.5555556,4.5555553,3.375,0
23287,23287,12,4,0.0606060606060606,1,0,0.121212121212121,1,0.375,9,3,0.25,"Male","White","","",3.125,2.9000001,3.7777777,3.6666667,2.75,1
23487,23487,36,192,0.304761904761905,0.801330798479087,0.0439471788715486,0.20952380952381,2,0.47607421875,2,20,0.555555555555556,"Male","Asian-American","","West North Central",3.125,3.3,4,3.7777777,3.5,1
23518,23518,57,339,0.191102756892231,0.525031552376946,0.174522807764446,0.487468671679198,4,0.345326525127654,2,56,0.982456140350877,"Female","White","$100,000 - $149,999","East North Central",3.375,3.2,4.4444447,3.3333333,2.5,0
23576,23576,14,33,0.351648351648352,0.595588235294118,0.503484549638396,0.417582417582418,3,0.375,1,14,1,"Male","Asian-American","$200,000 - $249,999","Middle Atlantic",2.5,2.7,4.1111112,3.8888888,1.875,2
23696,23696,40,167,0.203846153846154,0.695159629248198,0.0677171274077741,0.308974358974359,3,0.265990269372256,12,29,0.725,"Male","White","$100,000 - $149,999","East North Central",3.875,4.1999998,4.6666665,3.1111112,3.625,1
24016,24016,43,88,0.097452934662237,0.869272237196765,0.0306306804564644,0.188261351052049,3,0.415224690082645,25,19,0.441860465116279,"Female","White","$100,000 - $149,999","East North Central",3,3.4000001,3.5555556,3.1111112,3.25,1
24029,24029,31,201,0.356989247311828,0.565084226646248,0.112199408179753,0.343010752688172,3,0.277961242560604,1,31,1,"Male","Foreign Student","$25,000 - $49,999","Mountain",2.625,3,3.2222223,3.6666667,3.25,1
24079,24079,15,59,0.533333333333333,0.695214105793451,0.111459968602826,0.180952380952381,3,0.283163265306122,1,15,1,"Male","Asian-American","$250,000 or more","East North Central",3.375,3.5,4.3333335,2.8888888,2.75,1
